iter	Passed	Remaining
0	70	70549
1	78	39379
2	86	28843
3	94	23470
4	101	20281
5	109	18116
6	117	16631
7	124	15472
8	132	14554
9	139	13827
10	147	13227
11	156	12899
12	164	12463
13	171	12102
14	179	11790
15	187	11538
16	203	11759
17	211	11534
18	218	11301
19	226	11106
20	234	10913
21	241	10733
22	248	10563
23	256	10422
24	263	10285
25	271	10166
26	279	10058
27	286	9954
28	294	9869
29	302	9781
30	310	9702
31	318	9625
32	325	9546
33	333	9473
34	340	9399
35	348	9327
36	358	9333
37	369	9352
38	377	9301
39	386	9265
40	394	9223
41	406	9267
42	414	9222
43	422	9171
44	429	9115
45	437	9065
46	444	9014
47	451	8964
48	459	8923
49	467	8880
50	475	8856
51	483	8819
52	491	8786
53	500	8776
54	508	8741
55	516	8703
56	523	8664
57	531	8626
58	538	8587
59	546	8555
60	553	8519
61	561	8489
62	569	8466
63	577	8444
64	585	8428
65	594	8408
66	601	8376
67	608	8346
68	616	8319
69	623	8290
70	631	8263
71	641	8269
72	651	8269
73	658	8239
74	666	8216
75	673	8191
76	681	8167
77	688	8141
78	696	8116
79	704	8099
80	712	8078
81	719	8054
82	726	8029
83	734	8005
84	741	7984
85	751	7988
86	759	7970
87	768	7960
88	775	7941
89	784	7931
90	793	7926
91	801	7910
92	810	7903
93	818	7884
94	823	7842
95	830	7822
96	838	7804
97	846	7789
98	853	7771
99	862	7758
100	870	7744
101	878	7731
102	885	7714
103	893	7695
104	900	7678
105	908	7659
106	915	7641
107	922	7621
108	929	7601
109	936	7580
110	944	7564
111	951	7547
112	959	7529
113	966	7509
114	974	7500
115	982	7485
116	991	7479
117	999	7473
118	1007	7456
119	1014	7443
120	1022	7429
121	1030	7413
122	1037	7400
123	1049	7413
124	1056	7397
125	1064	7385
126	1072	7375
127	1080	7362
128	1088	7349
129	1096	7338
130	1104	7325
131	1112	7314
132	1119	7299
133	1128	7290
134	1135	7277
135	1143	7263
136	1150	7247
137	1158	7236
138	1166	7223
139	1173	7210
140	1182	7204
141	1191	7199
142	1199	7187
143	1207	7179
144	1215	7166
145	1226	7174
146	1234	7163
147	1242	7151
148	1249	7136
149	1257	7126
150	1265	7115
151	1273	7105
152	1281	7096
153	1289	7085
154	1297	7074
155	1305	7062
156	1313	7052
157	1321	7041
158	1328	7027
159	1336	7014
160	1343	7000
161	1351	6988
162	1359	6978
163	1366	6968
164	1374	6955
165	1383	6949
166	1391	6941
167	1401	6940
168	1409	6930
169	1417	6919
170	1425	6908
171	1432	6897
172	1440	6885
173	1449	6881
174	1457	6870
175	1464	6857
