,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(8,)",[0.65500869 0.6360695  0.63470635 0.6582324 ],0.6460042353297027,"('cat_internet_service_DSL',)",0.017132964657706043,0.010688187285199241,0.0061708278062589175
2,"(6, 8)",[0.7311805  0.71135801 0.69839706 0.69647336],0.7093522326713088,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL')",0.022188090836913286,0.013841764989533038,0.007991546742766437
3,"(6, 8, 16)",[0.76611889 0.74462401 0.72519489 0.70645618],0.7355984937688507,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_tech_support_No')",0.03557809726743238,0.02219495425587756,0.012814262814282341
4,"(6, 8, 13, 16)",[0.78002919 0.7663579  0.74811676 0.71263851],0.7517855905299334,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_No')",0.040520945204779876,0.02527848857303201,0.014594542182346909
5,"(6, 8, 10, 13, 16)",[0.79898263 0.78085173 0.75119619 0.72653707],0.7643919035812726,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_security_No', 'cat_online_backup_Yes', 'cat_tech_support_No')",0.044441620008014146,0.027724352871391,0.016006662593405767
6,"(6, 8, 10, 12, 13, 16)",[0.79715124 0.77762175 0.75266883 0.72627365],0.7634288699381645,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_security_No', 'cat_online_backup_No', 'cat_online_backup_Yes', 'cat_tech_support_No')",0.042674583581412275,0.02662200913552184,0.01537022414076221
7,"(6, 8, 9, 10, 12, 13, 16)",[0.7966319  0.78034807 0.75063231 0.72518152],0.7631984488393293,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_online_backup_No', 'cat_online_backup_Yes', 'cat_tech_support_No')",0.044009792733278874,0.027454962787454077,0.01585113015592777
8,"(6, 8, 9, 10, 12, 13, 16, 17)",[0.79484972 0.77950499 0.75151918 0.72423757],0.7625278652555267,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_online_backup_No', 'cat_online_backup_Yes', 'cat_tech_support_No', 'cat_tech_support_Yes')",0.04331212040555755,0.027019728567845007,0.015599847562075936
9,"(6, 8, 9, 10, 11, 12, 13, 16, 17)",[0.78973825 0.77902871 0.75075822 0.72717369],0.761674718153241,"('cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_online_security_Yes', 'cat_online_backup_No', 'cat_online_backup_Yes', 'cat_tech_support_No', 'cat_tech_support_Yes')",0.03925024582212465,0.02448577853969301,0.01413687083120932
10,"(3, 6, 8, 9, 10, 11, 12, 13, 16, 17)",[0.78822941 0.77655422 0.75375827 0.72905885],0.7619001860700249,"('cat_paperless_billing_Yes', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_online_security_Yes', 'cat_online_backup_No', 'cat_online_backup_Yes', 'cat_tech_support_No', 'cat_tech_support_Yes')",0.03631392245277758,0.022653989662023612,0.013079287029588332
